period,year,reporter_iso3,partner_iso3,partner_name,partner_iso2,region_name,hs6,product_description,trade_value_usd,net_weight_kg,quantity,unit_value_usd_per_kg,transaction_count,trade_volatility_6m,unit_value_volatility_6m,trade_growth_mom,gdp_usd,gdp_per_capita_usd,gdp_growth_pct,inflation_pct,population,trade_pct_gdp,tariff_rate,tariff_type,tariff_scope,rta_exists,rta_name,rta_status,rta_in_force_for_year,partner_locode_count,partner_port_count,partner_airport_count,partner_inland_terminal_count,sanctions_entity_count,ofac_entity_count,sanctions_present
202211,2022,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),131745518.14,24182014.63,24182014.63,5.4481,16,30054454.62,0.1048,0.2442,480378098409.11,49809.89,4.2,3.5,9863645.0,168.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202212,2022,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),117596506.53,21303212.96,21303212.96,5.5201,16,29640752.29,0.1002,-0.1074,480378098409.11,49809.89,4.2,3.5,9863645.0,168.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202301,2023,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),166647342.98,30998761.3,30998761.3,5.3759,16,27880742.09,0.0981,0.4171,498632466148.66,51304.19,3.5,3.5,9962281.0,169.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202302,2023,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),184607223.21,32378491.45,32378491.45,5.7015,16,20857215.01,0.1023,0.1078,498632466148.66,51304.19,3.5,3.5,9962281.0,169.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202303,2023,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),191534712.76,34353237.12,34353237.12,5.5754,16,29751097.43,0.1096,0.0375,498632466148.66,51304.19,3.5,3.5,9962281.0,169.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202304,2023,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),142082449.05,26804107.7,26804107.7,5.3008,16,36134779.13,0.1125,-0.2582,498632466148.66,51304.19,3.5,3.5,9962281.0,169.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202305,2023,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),135907641.73,25067551.24,25067551.24,5.4217,16,29835313.27,0.1438,-0.0435,498632466148.66,51304.19,3.5,3.5,9962281.0,169.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202306,2023,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),158257758.93,29259894.62,29259894.62,5.4087,16,29208709.46,0.1457,0.1645,498632466148.66,51304.19,3.5,3.5,9962281.0,169.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202307,2023,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),137639411.01,25049955.12,25049955.12,5.4946,16,22308090.15,0.147,-0.1303,498632466148.66,51304.19,3.5,3.5,9962281.0,169.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202308,2023,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),172621528.47,32170864.62,32170864.62,5.3658,16,24445432.13,0.1406,0.2542,498632466148.66,51304.19,3.5,3.5,9962281.0,169.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202309,2023,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),157792180.31,27646721.08,27646721.08,5.7074,16,22261647.85,0.0966,-0.0859,498632466148.66,51304.19,3.5,3.5,9962281.0,169.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202310,2023,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),139647144.73,26000032.28,26000032.28,5.371,16,14502589.32,0.1415,-0.115,498632466148.66,51304.19,3.5,3.5,9962281.0,169.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202311,2023,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),125003721.19,22379058.57,22379058.57,5.5857,16,14823106.44,0.1291,-0.1049,498632466148.66,51304.19,3.5,3.5,9962281.0,169.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202312,2023,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),157884904.79,31045262.71,31045262.71,5.0856,16,17388541.77,0.1361,0.263,498632466148.66,51304.19,3.5,3.5,9962281.0,169.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202401,2024,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),172909382.06,32739015.68,32739015.68,5.2814,16,17347285.54,0.2151,0.0952,517580499862.31,52843.31,4.2,2.4,10061904.0,169.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202402,2024,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),168413958.21,32064790.4,32064790.4,5.2523,16,18868025.41,0.2209,-0.026,517580499862.31,52843.31,4.2,2.4,10061904.0,169.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202403,2024,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),166410642.33,31536525.98,31536525.98,5.2768,16,18114465.33,0.229,-0.0119,517580499862.31,52843.31,4.2,2.4,10061904.0,169.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202404,2024,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),139650282.3,26638772.59,26638772.59,5.2424,16,18839747.63,0.1645,-0.1608,517580499862.31,52843.31,4.2,2.4,10061904.0,169.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202405,2024,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),135028757.29,24181125.49,24181125.49,5.5841,16,18839234.8,0.1632,-0.0331,517580499862.31,52843.31,4.2,2.4,10061904.0,169.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202406,2024,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),162539582.76,30037315.49,30037315.49,5.4113,16,15849261.77,0.1626,0.2037,517580499862.31,52843.31,4.2,2.4,10061904.0,169.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202407,2024,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),150435866.61,28503614.009999998,28503614.009999998,5.2778,16,16030778.38,0.1336,-0.0745,517580499862.31,52843.31,4.2,2.4,10061904.0,169.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202408,2024,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),199783160.63,36682560.96,36682560.96,5.4463,16,14232713.55,0.134,0.328,517580499862.31,52843.31,4.2,2.4,10061904.0,169.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202409,2024,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),166336235.35,30476076.74,30476076.74,5.4579,16,23465229.83,0.1317,-0.1674,517580499862.31,52843.31,4.2,2.4,10061904.0,169.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202410,2024,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),137338451.23,26423026.35,26423026.35,5.1977,16,23460533.23,0.1259,-0.1743,517580499862.31,52843.31,4.2,2.4,10061904.0,169.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202411,2024,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),129816821.05,23703929.09,23703929.09,5.4766,16,23856777.7,0.138,-0.0548,517580499862.31,52843.31,4.2,2.4,10061904.0,169.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202412,2024,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),128225498.02,23701607.95,23701607.95,5.41,16,24955280.33,0.1135,-0.0123,517580499862.31,52843.31,4.2,2.4,10061904.0,169.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202501,2025,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),159833920.24,31617910.2,31617910.2,5.0552,16,27435325.04,0.1134,0.2465,537248558857.08,54428.61,3.5,2.4,10162523.0,170.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202502,2025,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),205837067.72,38794362.2,38794362.2,5.3059,16,27596698.76,0.1733,0.2878,537248558857.08,54428.61,3.5,2.4,10162523.0,170.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202503,2025,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),170694070.02,31936516.29,31936516.29,5.3448,16,29658537.18,0.1655,-0.1707,537248558857.08,54428.61,3.5,2.4,10162523.0,170.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202504,2025,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),163759726.89,30963709.65,30963709.65,5.2888,16,30055172.1,0.1521,-0.0406,537248558857.08,54428.61,3.5,2.4,10162523.0,170.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202505,2025,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),149949427.28,28541159.98,28541159.98,5.2538,16,28808493.15,0.1444,-0.0843,537248558857.08,54428.61,3.5,2.4,10162523.0,170.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202506,2025,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),175279392.13,33257517.29,33257517.29,5.2704,16,25629603.18,0.1208,0.1689,537248558857.08,54428.61,3.5,2.4,10162523.0,170.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202507,2025,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),196344852.32,37760605.99,37760605.99,5.1997,16,19246755.28,0.1019,0.1202,537248558857.08,54428.61,3.5,2.4,10162523.0,170.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202508,2025,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),175964061.5,32810710.09,32810710.09,5.363,16,20763238.13,0.0493,-0.1038,537248558857.08,54428.61,3.5,2.4,10162523.0,170.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202509,2025,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),121113289.03,23325956.86,23325956.86,5.1922,16,15329548.79,0.0602,-0.3117,537248558857.08,54428.61,3.5,2.4,10162523.0,170.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202510,2025,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),133370077.31,24043989.580000002,24043989.580000002,5.5469,16,25895475.57,0.0629,0.1012,537248558857.08,54428.61,3.5,2.4,10162523.0,170.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202511,2025,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),98390228.97,18452294.89,18452294.89,5.3321,16,28708855.72,0.1338,-0.2623,537248558857.08,54428.61,3.5,2.4,10162523.0,170.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202512,2025,IND,ARE,United Arab Emirates,AE,Asia,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),115747194.77,21206398.6,21206398.6,5.4581,16,38040911.66,0.1317,0.1764,537248558857.08,54428.61,3.5,2.4,10162523.0,170.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202201,2022,IND,ARE,United Arab Emirates,AE,Asia,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",36099934.07,28325802.81,28325802.81,1.2745,16,,,,480378098409.11,49809.89,4.2,3.5,9863645.0,168.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202202,2022,IND,ARE,United Arab Emirates,AE,Asia,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",49666022.71,38846493.47,38846493.47,1.2785,16,,,0.3758,480378098409.11,49809.89,4.2,3.5,9863645.0,168.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202203,2022,IND,ARE,United Arab Emirates,AE,Asia,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",43476178.81,33340335.29,33340335.29,1.304,16,9592673.27,0.0028,-0.1246,480378098409.11,49809.89,4.2,3.5,9863645.0,168.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202204,2022,IND,ARE,United Arab Emirates,AE,Asia,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",31749653.31,24541818.47,24541818.47,1.2937,16,6791685.05,0.016,-0.2697,480378098409.11,49809.89,4.2,3.5,9863645.0,168.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202205,2022,IND,ARE,United Arab Emirates,AE,Asia,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",29018051.81,22585651.32,22585651.32,1.2848,16,7927770.55,0.0137,-0.086,480378098409.11,49809.89,4.2,3.5,9863645.0,168.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202206,2022,IND,ARE,United Arab Emirates,AE,Asia,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",40785615.94,31388599.16,31388599.16,1.2994,16,8506425.2,0.0119,0.4055,480378098409.11,49809.89,4.2,3.5,9863645.0,168.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202207,2022,IND,ARE,United Arab Emirates,AE,Asia,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",34270499.34,27106550.7,27106550.7,1.2643,16,7692780.05,0.0118,-0.1597,480378098409.11,49809.89,4.2,3.5,9863645.0,168.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202208,2022,IND,ARE,United Arab Emirates,AE,Asia,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",38252270.269999996,29402478.04,29402478.04,1.301,16,7840154.92,0.0147,0.1162,480378098409.11,49809.89,4.2,3.5,9863645.0,168.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202209,2022,IND,ARE,United Arab Emirates,AE,Asia,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",36233031.01,28693949.64,28693949.64,1.2627,16,5536618.48,0.0148,-0.0528,480378098409.11,49809.89,4.2,3.5,9863645.0,168.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202210,2022,IND,ARE,United Arab Emirates,AE,Asia,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",32033086.89,24412866.23,24412866.23,1.3121,16,4299667.01,0.0171,-0.1159,480378098409.11,49809.89,4.2,3.5,9863645.0,168.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202211,2022,IND,ARE,United Arab Emirates,AE,Asia,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",25440125.73,20634119.78,20634119.78,1.2329,16,4257485.35,0.0204,-0.2058,480378098409.11,49809.89,4.2,3.5,9863645.0,168.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202212,2022,IND,ARE,United Arab Emirates,AE,Asia,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",27803817.64,21497736.18,21497736.18,1.2933,16,5381663.56,0.0303,0.0929,480378098409.11,49809.89,4.2,3.5,9863645.0,168.5,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202301,2023,IND,ARE,United Arab Emirates,AE,Asia,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",30421529.58,24703064.8,24703064.8,1.2315,16,4942000.82,0.0296,0.0941,498632466148.66,51304.19,3.5,3.5,9962281.0,169.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202302,2023,IND,ARE,United Arab Emirates,AE,Asia,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",39085737.24,30751945.4,30751945.4,1.271,16,4890649.62,0.0351,0.2848,498632466148.66,51304.19,3.5,3.5,9962281.0,169.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202303,2023,IND,ARE,United Arab Emirates,AE,Asia,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",40038724.589999996,30390153.18,30390153.18,1.3175,16,5120504.73,0.0322,0.0244,498632466148.66,51304.19,3.5,3.5,9962281.0,169.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202304,2023,IND,ARE,United Arab Emirates,AE,Asia,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",28171519.67,22085080.79,22085080.79,1.2756,16,5943619.84,0.0379,-0.2964,498632466148.66,51304.19,3.5,3.5,9962281.0,169.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202305,2023,IND,ARE,United Arab Emirates,AE,Asia,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",31863032.580000002,24715883.98,24715883.98,1.2892,16,6203833.17,0.0337,0.131,498632466148.66,51304.19,3.5,3.5,9962281.0,169.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202306,2023,IND,ARE,United Arab Emirates,AE,Asia,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",26407779.66,20954774.91,20954774.91,1.2602,16,5380936.93,0.0287,-0.1712,498632466148.66,51304.19,3.5,3.5,9962281.0,169.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202307,2023,IND,ARE,United Arab Emirates,AE,Asia,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",41952049.83,33839083.68,33839083.68,1.2398,16,5667771.41,0.0287,0.5886,498632466148.66,51304.19,3.5,3.5,9962281.0,169.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
202308,2023,IND,ARE,United Arab Emirates,AE,Asia,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed (Basmati)",44547976.75,33987637.72,33987637.72,1.3107,16,6628452.71,0.0264,0.0619,498632466148.66,51304.19,3.5,3.5,9962281.0,169.0,0.0,PREFERENTIAL,PARTNER_SPECIFIC,1.0,India - UAE CEPA,In Force,1,75,44,10,35,1,1,1
