reporter_iso3,partner_iso3,cmd_code,period,export_value_usd,export_net_weight,import_value_usd,import_net_weight,export_unit_value,import_unit_value
ARE,CHN,090411,202401,17347840.1,3433438.53,2617851.33,500849.59,5.0526,5.2268
ARE,CHN,090411,202402,21847875.69,3742172.27,16163751.29,2905207.61,5.8383,5.5637
ARE,CHN,090411,202403,11764921.51,2529543.74,9666353.38,1759126.25,4.651,5.495
ARE,CHN,090411,202404,895453.96,151472.11,13649785.18,2329370.9,5.9117,5.8599
ARE,CHN,090411,202405,2212015.06,401630.92,3947725.45,779682.6,5.5076,5.0632
ARE,CHN,090411,202406,10958196.45,1875810.44,2695263.78,586940.15,5.8418,4.5921
ARE,CHN,090411,202407,19981231.35,3586241.75,3487446.99,647430.41,5.5716,5.3866
ARE,CHN,090411,202408,19691067.82,3751892.98,9642114.39,1845198.96,5.2483,5.2255
ARE,CHN,090411,202409,14844602.89,2809498.7,599651.58,121759.97,5.2837,4.9249
ARE,CHN,090411,202410,5946346.92,1122799.5,11490213.15,2061665.01,5.296,5.5733
ARE,CHN,090411,202411,13118490.66,2235931.5,9724729.32,1786880.82,5.8671,5.4423
ARE,CHN,090411,202412,12892688.89,2216119.38,9906755.52,1864545.11,5.8177,5.3132
ARE,CHN,090411,202501,6258414.37,1370497.21,10679950.21,1867840.31,4.5665,5.7178
ARE,CHN,090411,202502,1706543.68,335396.15,9676962.89,2011731.93,5.0881,4.8103
ARE,CHN,090411,202503,6823982.99,1344812.17,14058440.56,2406388.75,5.0743,5.8421
ARE,CHN,090411,202504,3331076.88,659901.44,6144455.66,1299189.36,5.0478,4.7295
ARE,CHN,090411,202505,13140149.07,2886254.37,16192570.72,3090678.77,4.5527,5.2392
ARE,CHN,090411,202506,16740043.0,2875134.56,8349987.97,1528786.58,5.8224,5.4618
ARE,CHN,090411,202507,14166450.91,3043787.21,1391516.85,277089.11,4.6542,5.0219
ARE,CHN,090411,202508,14969433.48,2980286.74,12072391.37,2566079.8,5.0228,4.7046
ARE,CHN,090411,202509,8677629.0,1763141.42,523860.02,114357.65,4.9217,4.5809
ARE,CHN,090411,202510,11954438.0,2595637.41,2876240.25,473187.93,4.6056,6.0784
ARE,CHN,090411,202511,9779956.94,1922420.99,7432801.34,1226740.37,5.0873,6.059
ARE,CHN,090411,202512,6385177.46,1130936.92,4842632.61,1021608.39,5.6459,4.7402
ARE,CHN,100630,202201,1497726.07,1261149.64,533777.11,481377.25,1.1876,1.1089
ARE,CHN,100630,202202,2542976.47,1945123.14,2350375.1,1643861.76,1.3074,1.4298
ARE,CHN,100630,202203,4485611.01,3263575.46,4612787.76,4045753.83,1.3744,1.1402
ARE,CHN,100630,202204,1572058.02,1121578.02,2137701.0,1526656.07,1.4016,1.4003
ARE,CHN,100630,202205,798436.15,593932.86,2458238.36,1788442.69,1.3443,1.3745
ARE,CHN,100630,202206,256028.8,197466.49,4307276.72,3430397.21,1.2966,1.2556
ARE,CHN,100630,202207,590242.95,432990.27,3326863.88,2925048.89,1.3632,1.1374
ARE,CHN,100630,202208,383267.43,336662.43,2463115.59,1933591.31,1.1384,1.2739
ARE,CHN,100630,202209,4284492.37,3551315.68,2842540.25,2125431.34,1.2065,1.3374
ARE,CHN,100630,202210,3378684.48,2622053.93,1184390.71,820969.08,1.2886,1.4427
ARE,CHN,100630,202211,2318462.17,1823784.82,1796865.28,1514707.01,1.2712,1.1863
ARE,CHN,100630,202212,2682368.14,2252849.73,2482342.37,2236809.84,1.1907,1.1098
ARE,CHN,100630,202301,1717059.13,1470655.37,3399720.8,2767415.65,1.1675,1.2285
ARE,CHN,100630,202302,405420.34,364125.95,4224320.3,3090699.57,1.1134,1.3668
ARE,CHN,100630,202303,3423589.05,2492763.84,4157265.43,3529436.68,1.3734,1.1779
ARE,CHN,100630,202304,2481899.97,1865903.1,3270061.71,2264117.39,1.3301,1.4443
ARE,CHN,100630,202305,609291.41,471959.4,2662472.48,1978432.36,1.291,1.3457
ARE,CHN,100630,202306,2890123.8,2375894.88,2703013.9,1919074.04,1.2164,1.4085
ARE,CHN,100630,202307,731265.83,517708.95,2662386.81,2145276.15,1.4125,1.241
ARE,CHN,100630,202308,1935791.35,1757938.56,2199874.99,1597164.55,1.1012,1.3774
ARE,CHN,100630,202309,3431462.04,2489576.04,5425984.88,3747594.96,1.3783,1.4479
ARE,CHN,100630,202310,3359087.91,2647778.44,1697024.12,1304262.15,1.2686,1.3011
ARE,CHN,100630,202311,2787318.64,2112174.72,1878146.42,1401512.56,1.3196,1.3401
ARE,CHN,100630,202312,4076147.75,2824507.3,1217214.24,865746.89,1.4431,1.406
ARE,CHN,100630,202401,4573368.64,3752070.43,2577814.92,1906824.94,1.2189,1.3519
ARE,CHN,100630,202402,198629.28,156864.96,3026340.18,2400586.48,1.2662,1.2607
ARE,CHN,100630,202403,972903.83,840448.21,926316.04,639181.48,1.1576,1.4492
ARE,CHN,100630,202404,2027578.0,1534509.75,3415301.08,3017444.56,1.3213,1.1319
ARE,CHN,100630,202405,934007.98,647807.23,3786873.88,2700852.15,1.4418,1.4021
ARE,CHN,100630,202406,2992074.33,2530027.48,2027134.54,1643755.97,1.1826,1.2332
ARE,CHN,100630,202407,1711422.83,1453086.67,3455649.75,2642513.03,1.1778,1.3077
ARE,CHN,100630,202408,3035435.54,2132261.95,1665736.3,1241750.94,1.4236,1.3414
ARE,CHN,100630,202409,819702.35,610077.94,899655.74,796261.38,1.3436,1.1298
ARE,CHN,100630,202410,3481827.52,2766020.21,1070371.07,853087.42,1.2588,1.2547
ARE,CHN,100630,202411,825421.93,630842.86,692586.12,517450.7,1.3084,1.3385
ARE,CHN,100630,202412,1583877.49,1217694.67,2179354.18,1894219.07,1.3007,1.1505
ARE,CHN,100630,202501,1019092.78,898959.36,1170602.77,909723.59,1.1336,1.2868
ARE,CHN,100630,202502,1565445.43,1113881.94,2896812.05,2451838.26,1.4054,1.1815
ARE,CHN,100630,202503,831159.83,708697.56,377703.22,315758.39,1.1728,1.1962
ARE,CHN,100630,202504,925816.21,790613.15,2414814.72,1860709.6,1.171,1.2978
ARE,CHN,100630,202505,1094464.9,984771.77,1566419.75,1302501.46,1.1114,1.2026
ARE,CHN,100630,202506,923938.62,639891.05,2882342.33,2100867.49,1.4439,1.372
ARE,CHN,100630,202507,1410186.9,1012371.43,4092468.86,3049250.15,1.393,1.3421
ARE,CHN,100630,202508,1473176.02,1307825.35,1896413.68,1359660.04,1.1264,1.3948
ARE,CHN,100630,202509,2935775.2,2444970.77,2769254.64,2456867.97,1.2007,1.1271
ARE,CHN,100630,202510,2022845.3,1432660.68,2136662.37,1837827.18,1.412,1.1626
ARE,CHN,100630,202511,1180039.03,853512.21,1688140.16,1470658.92,1.3826,1.1479
ARE,CHN,100630,202512,3356424.96,2503372.02,630617.33,445243.94,1.3408,1.4163
ARE,CHN,271019,202201,2137987.61,2591874.3,1745622.2,2102354.61,0.8249,0.8303
ARE,CHN,271019,202202,159493.59,170880.77,377344.34,410412.32,0.9334,0.9194
ARE,CHN,271019,202203,774590.49,902622.82,1508122.16,1745193.68,0.8582,0.8642
ARE,CHN,271019,202204,2538294.76,2956031.42,1862440.47,2088568.06,0.8587,0.8917
ARE,CHN,271019,202205,2728038.78,3020972.6,1653898.79,1782475.42,0.903,0.9279
ARE,CHN,271019,202206,1889131.99,2272918.81,1691503.14,1845055.75,0.8311,0.9168
ARE,CHN,271019,202207,3021084.71,3472622.59,1879728.83,2107294.06,0.87,0.892
ARE,CHN,271019,202208,2405975.47,2764688.8,1997416.52,2194559.99,0.8703,0.9102
ARE,CHN,271019,202209,410757.4,488724.13,1376458.83,1704677.8,0.8405,0.8075
ARE,CHN,271019,202210,1099671.7,1300889.42,648935.61,858471.17,0.8453,0.7559
ARE,CHN,271019,202211,1652165.21,1957362.39,1919144.99,2429431.7,0.8441,0.79
ARE,CHN,271019,202212,1628490.96,1946220.63,2107548.04,2267699.52,0.8367,0.9294
ARE,CHN,271019,202301,266123.61,333240.28,3191365.86,3391525.62,0.7986,0.941
ARE,CHN,271019,202302,1380219.42,1803307.32,2790973.44,3315036.39,0.7654,0.8419
ARE,CHN,271019,202303,727621.79,816500.59,1982232.02,2524539.59,0.8911,0.7852
ARE,CHN,271019,202304,841663.69,981895.9,385158.39,427622.49,0.8572,0.9007
ARE,CHN,271019,202305,903876.45,1164198.94,805137.32,927006.92,0.7764,0.8685
ARE,CHN,271019,202306,277241.21,331560.49,2089615.78,2547784.11,0.8362,0.8202
ARE,CHN,271019,202307,2777742.14,3320323.54,1467754.97,1850887.07,0.8366,0.793
ARE,CHN,271019,202308,2407377.43,2608161.55,3010750.94,3537196.6,0.923,0.8512
ARE,CHN,271019,202309,425720.06,560897.95,1837624.52,1992791.05,0.759,0.9221
ARE,CHN,271019,202310,1859000.04,2328810.6,3007214.62,3890937.71,0.7983,0.7729
ARE,CHN,271019,202311,990533.28,1305654.75,2160774.49,2781574.36,0.7586,0.7768
ARE,CHN,271019,202312,337108.14,435653.33,909770.46,1149638.82,0.7738,0.7914
ARE,CHN,271019,202401,200897.82,221066.74,3644131.5,4367294.8,0.9088,0.8344
ARE,CHN,271019,202402,2408227.58,2544496.65,3216432.13,3396348.55,0.9464,0.947
ARE,CHN,271019,202403,1408044.0,1638697.38,415691.29,494321.52,0.8592,0.8409
ARE,CHN,271019,202404,397738.59,469045.2,251951.81,288668.59,0.848,0.8728
ARE,CHN,271019,202405,1317944.36,1716601.99,1487781.11,1594851.52,0.7678,0.9329
ARE,CHN,271019,202406,872462.73,1076573.9,429304.23,457536.23,0.8104,0.9383
ARE,CHN,271019,202407,2156461.33,2474984.32,169478.71,218989.21,0.8713,0.7739
ARE,CHN,271019,202408,994768.03,1121591.39,3776855.87,3992043.24,0.8869,0.9461
ARE,CHN,271019,202409,1422052.36,1627637.38,197083.98,249247.06,0.8737,0.7907
ARE,CHN,271019,202410,1502565.98,1953940.58,2820530.0,3096754.16,0.769,0.9108
ARE,CHN,271019,202411,334679.52,397777.93,546546.91,583031.46,0.8414,0.9374
ARE,CHN,271019,202412,1363684.49,1775298.15,666780.28,732548.12,0.7681,0.9102
ARE,CHN,271019,202501,287926.27,381382.5,1455112.37,1680190.84,0.755,0.866
ARE,CHN,271019,202502,2879998.76,3298942.61,2134144.14,2598926.64,0.873,0.8212
ARE,CHN,271019,202503,2058844.76,2605201.93,2461234.43,3117120.15,0.7903,0.7896
ARE,CHN,271019,202504,259073.18,281823.36,3197399.98,4123768.94,0.9193,0.7754
ARE,CHN,271019,202505,1917973.39,2351611.67,137904.27,178021.42,0.8156,0.7746
ARE,CHN,271019,202506,2988717.66,3530007.88,958752.66,1122646.67,0.8467,0.854
ARE,CHN,271019,202507,786026.21,893557.32,2334819.56,2528958.34,0.8797,0.9232
ARE,CHN,271019,202508,448120.91,539503.12,2993550.95,3900886.84,0.8306,0.7674
ARE,CHN,271019,202509,3208967.11,3579450.66,1462165.0,1743428.59,0.8965,0.8387
ARE,CHN,271019,202510,62289.95,79599.15,487781.25,647493.18,0.7825,0.7533
ARE,CHN,271019,202511,1586395.82,1749056.36,1565988.41,1880020.33,0.907,0.833
ARE,CHN,271019,202512,1254729.18,1422520.92,1559010.18,1695321.46,0.882,0.9196
ARE,CHN,300490,202201,15812254.2,1398103.36,13365055.41,1369629.33,11.3098,9.7582
ARE,CHN,300490,202202,11831495.86,1303354.15,1186840.01,123829.55,9.0777,9.5845
ARE,CHN,300490,202203,31494181.39,2499598.08,2742237.51,272061.64,12.5997,10.0795
ARE,CHN,300490,202204,9823969.23,1145902.36,18689253.86,1360952.26,8.5731,13.7325
ARE,CHN,300490,202205,13074906.53,1132554.86,20208779.27,1963510.63,11.5446,10.2922
ARE,CHN,300490,202206,24888820.12,2225392.83,8632467.51,700919.64,11.184,12.3159
ARE,CHN,300490,202207,14411310.18,1082532.85,33991186.33,2579924.44,13.3126,13.1753
ARE,CHN,300490,202208,41693181.09,3315050.73,16060753.21,1541829.83,12.5769,10.4167
ARE,CHN,300490,202209,15982627.1,1738136.02,9740578.25,870014.81,9.1953,11.1959
ARE,CHN,300490,202210,20780512.84,2165550.72,33874029.05,2504063.92,9.5959,13.5276
ARE,CHN,300490,202211,4395108.54,350068.03,7225567.09,583936.3,12.555,12.3739
ARE,CHN,300490,202212,15807810.32,1287286.74,17442913.58,1521726.71,12.2799,11.4626
ARE,CHN,300490,202301,1998050.32,149826.05,23046361.03,1997257.4,13.3358,11.539
ARE,CHN,300490,202302,38617120.43,2992807.98,15279032.92,1428572.26,12.9033,10.6953
ARE,CHN,300490,202303,1379484.86,103200.21,39046182.27,4492146.42,13.3671,8.6921
ARE,CHN,300490,202304,25555326.01,2635474.93,1532778.25,139440.41,9.6967,10.9924
ARE,CHN,300490,202305,25314105.84,2758548.3,26732939.68,2247436.04,9.1766,11.8949
ARE,CHN,300490,202306,26516357.6,2724220.59,5638896.17,425335.36,9.7336,13.2575
ARE,CHN,300490,202307,20698617.76,1985669.59,16350384.56,1460149.22,10.424,11.1977
ARE,CHN,300490,202308,20887427.46,1788031.46,28536837.66,2377236.44,11.6818,12.0042
ARE,CHN,300490,202309,27026371.36,3099076.51,3320367.52,334659.86,8.7208,9.9216
ARE,CHN,300490,202310,13297637.27,1340861.96,3024546.06,281899.85,9.9172,10.7292
ARE,CHN,300490,202311,17652732.49,1619983.72,7711305.3,712800.32,10.8969,10.8183
ARE,CHN,300490,202312,1792289.95,164757.24,8833825.85,815794.83,10.8784,10.8285
ARE,CHN,300490,202401,25727340.21,1956263.47,25778136.21,2965397.38,13.1513,8.693
ARE,CHN,300490,202402,28249356.3,2689842.76,48286629.17,3638282.48,10.5022,13.2718
ARE,CHN,300490,202403,30767789.34,3075105.19,29686147.39,3041762.81,10.0054,9.7595
ARE,CHN,300490,202404,20390176.37,2050330.15,4587042.09,359716.81,9.9448,12.7518
ARE,CHN,300490,202405,14850720.45,1545795.6,7664702.49,655085.5,9.6072,11.7003
ARE,CHN,300490,202406,10871296.81,874862.99,19177574.07,2208872.35,12.4263,8.6821
ARE,CHN,300490,202407,22543636.1,1897479.16,9950409.71,915806.01,11.8808,10.8652
ARE,CHN,300490,202408,29846638.23,2137296.72,24168588.52,1990719.62,13.9647,12.1406
ARE,CHN,300490,202409,17955240.76,1418784.51,22107369.47,2515535.78,12.6554,8.7883
ARE,CHN,300490,202410,9043410.73,820631.31,18442434.17,1868514.93,11.0201,9.8701
ARE,CHN,300490,202411,36871608.01,2719489.4,23708687.76,2038296.62,13.5583,11.6316
ARE,CHN,300490,202412,30976335.24,2260367.81,43307931.16,4714727.44,13.7041,9.1857
ARE,CHN,300490,202501,49624297.36,3903092.98,38644473.42,4520315.76,12.7141,8.5491
ARE,CHN,300490,202502,26909858.36,2732406.66,33095519.11,2858867.87,9.8484,11.5764
ARE,CHN,300490,202503,3315356.68,255369.1,31415687.86,2576086.77,12.9826,12.1951
ARE,CHN,300490,202504,13909255.31,1145728.85,23751252.29,2740965.28,12.1401,8.6653
ARE,CHN,300490,202505,5035487.98,524415.43,19965458.31,1848163.49,9.6021,10.8029
ARE,CHN,300490,202506,23270013.7,2470829.92,13786316.48,1274560.35,9.4179,10.8165
ARE,CHN,300490,202507,34910429.3,3706658.27,34819173.96,3103910.66,9.4183,11.2178
ARE,CHN,300490,202508,26334199.38,2654488.48,4600548.02,406740.04,9.9206,11.3108
ARE,CHN,300490,202509,28774018.29,2079570.04,14706529.42,1163715.28,13.8365,12.6376
ARE,CHN,300490,202510,9168520.41,970439.2,28801008.64,3118897.76,9.4478,9.2344
ARE,CHN,300490,202511,27608100.02,2234707.75,21139750.96,2023387.05,12.3542,10.4477
ARE,CHN,300490,202512,28936026.46,2953710.87,31504598.18,2821340.96,9.7965,11.1665
ARE,CHN,520512,202201,582363.36,164851.49,2339235.05,721176.88,3.5327,3.2436
ARE,CHN,520512,202202,4397217.13,1141648.9,10821284.12,2684632.87,3.8516,4.0308
ARE,CHN,520512,202203,10624422.1,3231609.15,3270728.14,923156.36,3.2877,3.543
ARE,CHN,520512,202204,2758727.91,687193.25,7205346.98,1928830.81,4.0145,3.7356
ARE,CHN,520512,202205,8116916.64,2034350.41,9627684.33,2818025.05,3.9899,3.4165
ARE,CHN,520512,202206,3345590.89,1019541.53,2432852.68,603221.72,3.2815,4.0331
ARE,CHN,520512,202207,3568448.32,962702.2,13025683.01,3635362.57,3.7067,3.583
ARE,CHN,520512,202208,10766144.89,2797979.91,10828042.37,2939475.94,3.8478,3.6837
ARE,CHN,520512,202209,7213574.03,1830934.89,14815469.43,3634429.95,3.9398,4.0764
ARE,CHN,520512,202210,371773.39,114809.11,8496081.8,2579648.97,3.2382,3.2935
ARE,CHN,520512,202211,7844410.46,2265213.45,4197088.86,1116075.31,3.463,3.7606
ARE,CHN,520512,202212,344675.49,88040.77,2762867.65,732134.11,3.915,3.7737
ARE,CHN,520512,202301,11964023.03,3484900.39,5254920.66,1344832.35,3.4331,3.9075
ARE,CHN,520512,202302,8405000.87,2237423.65,5871060.42,1713464.86,3.7566,3.4264
ARE,CHN,520512,202303,8777891.2,2188753.6,1779807.58,445807.33,4.0105,3.9923
ARE,CHN,520512,202304,8076606.79,2394243.77,6320131.98,1925768.53,3.3733,3.2819
ARE,CHN,520512,202305,4455611.83,1353226.46,8287746.27,2240829.02,3.2926,3.6985
ARE,CHN,520512,202306,11553933.2,3281459.79,10236973.88,2906415.19,3.521,3.5222
ARE,CHN,520512,202307,10920222.93,2863121.19,1082589.69,310753.46,3.8141,3.4838
ARE,CHN,520512,202308,6914176.8,2098859.59,17308186.97,4614535.4,3.2943,3.7508
ARE,CHN,520512,202309,2617156.23,808565.47,1956385.24,501880.63,3.2368,3.8981
ARE,CHN,520512,202310,5315779.3,1348331.24,3677580.16,1071372.32,3.9425,3.4326
ARE,CHN,520512,202311,11203630.43,2772676.65,5249178.58,1529169.65,4.0407,3.4327
ARE,CHN,520512,202312,2546622.41,635423.05,4719602.31,1211689.82,4.0078,3.8951
ARE,CHN,520512,202401,12928269.16,3875837.23,1205193.56,359320.61,3.3356,3.3541
ARE,CHN,520512,202402,12434955.14,3341974.48,973510.73,246500.86,3.7208,3.9493
ARE,CHN,520512,202403,9090803.86,2332484.51,788052.48,195846.7,3.8975,4.0238
ARE,CHN,520512,202404,8230512.32,2296100.73,7781010.83,2018745.82,3.5846,3.8544
ARE,CHN,520512,202405,897313.47,273488.74,1646551.7,502921.65,3.281,3.274
ARE,CHN,520512,202406,4304620.92,1228865.88,7570505.08,2038285.73,3.5029,3.7142
ARE,CHN,520512,202407,11541460.57,3205147.32,7925460.14,2158581.23,3.6009,3.6716
ARE,CHN,520512,202408,1541990.42,443300.53,17657876.87,4475448.7,3.4784,3.9455
ARE,CHN,520512,202409,8926455.5,2734363.65,5104371.16,1334655.94,3.2645,3.8245
ARE,CHN,520512,202410,9206333.67,2539595.24,6408829.13,1905077.82,3.6251,3.3641
ARE,CHN,520512,202411,8486634.48,2650503.68,10882959.5,3098420.66,3.2019,3.5124
ARE,CHN,520512,202412,6735779.8,1754799.91,1709743.75,512683.66,3.8385,3.3349
ARE,CHN,520512,202501,11246880.35,3175918.14,947654.38,246705.96,3.5413,3.8412
ARE,CHN,520512,202502,4496956.47,1369811.57,2877422.72,878887.79,3.2829,3.2739
ARE,CHN,520512,202503,7125469.95,1908187.74,8051263.49,2074833.39,3.7342,3.8804
ARE,CHN,520512,202504,13180839.05,3454085.36,4193322.75,1158513.16,3.816,3.6196
ARE,CHN,520512,202505,10227554.37,2511582.38,2180560.9,620522.08,4.0722,3.5141
ARE,CHN,520512,202506,5825218.02,1751555.74,3111385.7,777208.52,3.3257,4.0033
ARE,CHN,520512,202507,4349219.9,1292614.51,276345.77,70483.94,3.3647,3.9207
ARE,CHN,520512,202508,6243993.66,1782318.74,9751336.58,2667734.27,3.5033,3.6553
ARE,CHN,520512,202509,7731965.94,1904753.5,8987614.92,2445916.26,4.0593,3.6745
ARE,CHN,520512,202510,3252144.84,908198.09,6114720.81,1703739.86,3.5809,3.589
ARE,CHN,520512,202511,8705274.71,2684942.63,10267244.02,2627239.71,3.2423,3.908
ARE,CHN,520512,202512,3259768.58,873263.98,5380710.12,1605625.97,3.7329,3.3512
ARE,CHN,711319,202201,22176568141.58,519352.77,63695934835.03,1793996.17,42700.3945,35505.0562
ARE,CHN,711319,202202,56064009583.77,1194572.64,7695249677.13,184667.51,46932.2733,41670.8368
ARE,CHN,711319,202203,42887186705.2,946228.0,88435562324.29,1926983.61,45324.3687,45893.2613
ARE,CHN,711319,202204,73023476915.61,2082071.29,133442143882.17,2835917.94,35072.5152,47054.3037
ARE,CHN,711319,202205,92161807071.44,2375953.42,4508457812.07,108544.66,38789.3998,41535.51
ARE,CHN,711319,202206,73007913164.04,1452769.88,27822612619.06,537880.8,50254.2861,51726.3539
ARE,CHN,711319,202207,130541312842.42,2630475.18,68638567329.4,1517900.2,49626.5138,45219.4204
ARE,CHN,711319,202208,115138598107.62,2887045.57,98838944770.06,1955866.85,39881.1156,50534.5979
ARE,CHN,711319,202209,113768150141.36,2437023.5,30574152292.21,620421.1,46683.2389,49279.6784
ARE,CHN,711319,202210,62985989056.13,1784724.39,70606913459.74,1760429.62,35291.7175,40107.7741
ARE,CHN,711319,202211,10571554167.11,274283.83,98708963833.48,2210850.3,38542.3893,44647.5113
ARE,CHN,711319,202212,58816385102.96,1276563.91,36182868714.7,740007.87,46073.984,48895.2485
ARE,CHN,711319,202301,26827502364.05,673028.03,19910024026.19,490005.35,39860.8991,40632.2585
ARE,CHN,711319,202302,164911932478.25,3322315.19,92213017616.48,1852086.3,49637.6542,49788.7262
ARE,CHN,711319,202303,98799210257.75,2122399.87,43272464886.41,1035690.21,46550.705,41781.2822
ARE,CHN,711319,202304,99782635979.54,2634220.67,113949987741.06,2229457.13,37879.3763,51111.0917
ARE,CHN,711319,202305,16268823754.86,389602.4,49052266320.67,1381873.17,41757.5039,35496.9381
ARE,CHN,711319,202306,84960176606.37,2308128.06,60561410631.28,1295001.07,36809.126,46765.5294
ARE,CHN,711319,202307,141938152790.46,3034946.7,91666516155.83,2199975.69,46767.9227,41667.0587
ARE,CHN,711319,202308,83617440424.49,1943480.34,120712228587.54,2622721.09,43024.5877,46025.5683
ARE,CHN,711319,202309,92740026970.73,2507830.45,155786896851.36,3641806.91,36980.1822,42777.3632
ARE,CHN,711319,202310,130190258015.82,2985162.69,152567757906.63,3331654.85,43612.4498,45793.3864
ARE,CHN,711319,202311,60683338637.25,1468344.46,113312675167.51,2634074.41,41327.7268,43018.0236
ARE,CHN,711319,202312,43545394869.71,1082508.32,109710958421.32,2319626.69,40226.3835,47296.8167
ARE,CHN,711319,202401,50325245323.54,1035327.04,209054009370.93,5205407.2,48608.0662,40160.9329
ARE,CHN,711319,202402,102330516472.66,2135853.65,155711971886.44,3810684.78,47910.8278,40861.9397
ARE,CHN,711319,202403,99191510769.72,2090510.15,95927423361.55,2399453.93,47448.4713,39978.8561
ARE,CHN,711319,202404,12619650953.55,320460.86,77525136638.36,1504475.6,39379.6951,51529.6736
ARE,CHN,711319,202405,10942713381.76,236556.72,68951925564.7,1440839.95,46258.307,47855.3677
ARE,CHN,711319,202406,39975424017.94,900916.17,14677560210.55,319524.04,44371.9686,45935.6993
ARE,CHN,711319,202407,55127238805.36,1103391.0,44251690765.04,974717.15,49961.6535,45399.52
ARE,CHN,711319,202408,104781547223.24,2840887.06,26508927894.85,719136.38,36883.3906,36862.1706
ARE,CHN,711319,202409,9968586634.03,234725.45,79277184192.56,1712558.48,42469.1342,46291.6654
ARE,CHN,711319,202410,34920982563.25,863016.75,91869709416.08,2113953.83,40463.8526,43458.7114
ARE,CHN,711319,202411,75712117145.17,1963248.25,25893307709.66,719661.31,38564.719,35979.8524
ARE,CHN,711319,202412,20394821908.22,516586.16,126118326307.75,2931042.65,39480.0006,43028.4855
ARE,CHN,711319,202501,57593235684.61,1436965.94,57048606392.67,1454820.86,40079.75,39213.4922
ARE,CHN,711319,202502,132993450619.51,3323069.54,15639966033.68,403278.92,40021.2662,38782.0073
ARE,CHN,711319,202503,50113194695.82,1251762.86,68374800431.64,1887127.82,40034.0962,36232.2042
ARE,CHN,711319,202504,59092761759.72,1315762.34,28493556451.44,588731.95,44911.4251,48398.1827
ARE,CHN,711319,202505,117163837526.33,2583432.29,150841174315.18,3259349.79,45352.0063,46279.5294
ARE,CHN,711319,202506,99090238147.64,2769015.83,144717911849.05,2899466.72,35785.3635,49911.9065
ARE,CHN,711319,202507,94024609802.26,2594411.87,88671369901.86,2136254.13,36241.204,41507.8752
ARE,CHN,711319,202508,151689919363.23,3169821.54,62466175403.41,1331162.62,47854.4036,46926.0288
ARE,CHN,711319,202509,44956450287.66,929713.56,112323449894.3,2711481.94,48355.1625,41425.1145
ARE,CHN,711319,202510,177808766552.05,3587922.37,107285117275.25,2160961.78,49557.5846,49646.9296
ARE,CHN,711319,202511,115164828130.28,3139289.24,18088433890.37,375349.94,36685.0008,48190.8533
ARE,CHN,711319,202512,86025726764.15,1730107.62,87271449057.47,1819997.74,49722.7605,47951.4052
ARE,CHN,847130,202201,345398476.44,2409425.33,187529773.85,1158057.91,143.3531,161.9347
ARE,CHN,847130,202202,387136272.09,2264037.11,295558500.77,1092859.43,170.9938,270.4451
