request_id,period,reporter,partner,flow,classification,url_or_endpoint,status,records,retrieved_at
REQ_COMTRADE_ANN_IND_DEU,2015-2025,IND,DEU,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/A/HS,CACHED_VALIDATED,176,2026-08-20T01:33:00.863455+00:00
REQ_COMTRADE_MON_IND_DEU,202201-202512,IND,DEU,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/M/HS,CACHED_VALIDATED,768,2026-08-20T01:33:00.875661+00:00
REQ_COMTRADE_ANN_IND_GBR,2015-2025,IND,GBR,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/A/HS,CACHED_VALIDATED,176,2026-08-20T01:33:00.879177+00:00
REQ_COMTRADE_MON_IND_GBR,202201-202512,IND,GBR,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/M/HS,CACHED_VALIDATED,768,2026-08-20T01:33:00.891223+00:00
REQ_COMTRADE_ANN_IND_SGP,2015-2025,IND,SGP,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/A/HS,CACHED_VALIDATED,176,2026-08-20T01:33:00.894744+00:00
REQ_COMTRADE_MON_IND_SGP,202201-202512,IND,SGP,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/M/HS,CACHED_VALIDATED,768,2026-08-20T01:33:00.906327+00:00
REQ_COMTRADE_ANN_IND_JPN,2015-2025,IND,JPN,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/A/HS,CACHED_VALIDATED,176,2026-08-20T01:33:00.909853+00:00
REQ_COMTRADE_MON_IND_JPN,202201-202512,IND,JPN,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/M/HS,CACHED_VALIDATED,768,2026-08-20T01:33:00.919539+00:00
REQ_COMTRADE_ANN_IND_NLD,2015-2025,IND,NLD,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/A/HS,CACHED_VALIDATED,176,2026-08-20T01:33:00.924050+00:00
REQ_COMTRADE_MON_IND_NLD,202201-202512,IND,NLD,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/M/HS,CACHED_VALIDATED,768,2026-08-20T01:33:00.933751+00:00
REQ_COMTRADE_ANN_IND_KOR,2015-2025,IND,KOR,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/A/HS,CACHED_VALIDATED,176,2026-08-20T01:33:00.939486+00:00
REQ_COMTRADE_MON_IND_KOR,202201-202512,IND,KOR,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/M/HS,CACHED_VALIDATED,768,2026-08-20T01:33:00.949552+00:00
REQ_COMTRADE_ANN_IND_BRA,2015-2025,IND,BRA,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/A/HS,CACHED_VALIDATED,176,2026-08-20T01:33:00.953653+00:00
REQ_COMTRADE_MON_IND_BRA,202201-202512,IND,BRA,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/M/HS,CACHED_VALIDATED,768,2026-08-20T01:33:00.968830+00:00
REQ_COMTRADE_ANN_IND_IDN,2015-2025,IND,IDN,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/A/HS,CACHED_VALIDATED,176,2026-08-20T01:33:00.974898+00:00
REQ_COMTRADE_MON_IND_IDN,202201-202512,IND,IDN,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/M/HS,CACHED_VALIDATED,768,2026-08-20T01:33:00.984945+00:00
REQ_COMTRADE_ANN_IND_AUS,2015-2025,IND,AUS,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/A/HS,CACHED_VALIDATED,176,2026-08-20T01:33:00.989665+00:00
REQ_COMTRADE_MON_IND_AUS,202201-202512,IND,AUS,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/M/HS,CACHED_VALIDATED,768,2026-08-20T01:33:01.001242+00:00
REQ_COMTRADE_ANN_IND_ZAF,2015-2025,IND,ZAF,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/A/HS,CACHED_VALIDATED,176,2026-08-20T01:33:01.004749+00:00
REQ_COMTRADE_MON_IND_ZAF,202201-202512,IND,ZAF,Exports+Imports,HS,https://comtradeapi.un.org/public/v1/preview/C/M/HS,CACHED_VALIDATED,768,2026-08-20T01:33:01.015483+00:00
