period,reporter_iso3,partner_iso3,hs6,trade_flow,trade_value_usd,net_weight_kg,quantity,quantity_unit,product_description,transaction_count,unit_value_usd_per_kg,trade_growth_mom,unit_value_change_mom,quantity_growth_mom,weight_growth_mom,yoy_growth,rolling_mean_3m,rolling_std_3m,partner_share_pct,partner_share_change_mom,new_corridor_flag,mirror_trade_value,mirror_ratio,mirror_difference,mirror_missing_flag,anomaly_type,anomaly_flag,label_source
202211,IND,ARE,90411,Export,72578540.17,13261408.51,13261408.51,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.4729,0.0399,0.0039,0.0358,0.0358,,74141788.32,4535235.99,0.0007,0.0,0,72578540.17,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202212,IND,ARE,90411,Export,51553123.59,9600252.01,9600252.01,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.37,-0.2897,-0.0188,-0.2761,-0.2761,,72052856.0,2045261.55,0.0005,-0.0002,0,51553123.59,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202301,IND,ARE,90411,Export,99624944.78,18818318.88,18818318.88,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.294,0.9325,-0.0142,0.9602,0.9602,0.1934,64642575.87,11420852.17,0.0008,0.0003,0,99624944.78,1.0,0.0,0,VOLUME_SURGE,1,RULE_BASED_HEURISTIC
202302,IND,ARE,90411,Export,106085449.26,17850748.04,17850748.04,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.9429,0.0648,0.1226,-0.0514,-0.0514,0.5018,74585536.18,24098672.64,0.0008,0.0,0,106085449.26,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202303,IND,ARE,90411,Export,97646706.0,17477731.6,17477731.6,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.5869,-0.0795,-0.0599,-0.0209,-0.0209,0.3127,85754505.88,29794889.53,0.0007,-0.0001,0,97646706.0,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202304,IND,ARE,90411,Export,69949863.87,13468382.1,13468382.1,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.1936,-0.2836,-0.0704,-0.2294,-0.2294,0.1395,101119033.35,4413311.96,0.0007,0.0,0,69949863.87,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202305,IND,ARE,90411,Export,93609595.4,17217009.42,17217009.42,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.437,0.3382,0.0469,0.2783,0.2783,0.3962,91227339.71,18903738.53,0.0009,0.0002,0,93609595.4,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202306,IND,ARE,90411,Export,68269690.38,11835605.68,11835605.68,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.7682,-0.2707,0.0609,-0.3126,-0.3126,0.2835,87068721.76,14962153.49,0.0006,-0.0003,0,68269690.38,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202307,IND,ARE,90411,Export,51054687.31,9771804.73,9771804.73,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.2247,-0.2522,-0.0942,-0.1744,-0.1744,-0.3871,77276383.22,14169901.58,0.0004,-0.0002,0,51054687.31,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202308,IND,ARE,90411,Export,89957308.68,16266757.97,16266757.97,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.5301,0.762,0.0585,0.6647,0.6647,0.1409,70977991.03,21406335.98,0.0006,0.0002,0,89957308.68,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202309,IND,ARE,90411,Export,62217184.56999999,11213408.24,11213408.24,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.5485,-0.3084,0.0033,-0.3107,-0.3107,-0.1568,69760562.12,19494114.79,0.0005,-0.0001,0,62217184.57,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202310,IND,ARE,90411,Export,81614520.53,15308842.61,15308842.61,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.3312,0.3118,-0.0392,0.3652,0.3652,0.1693,67743060.19,20031349.51,0.0007,0.0002,0,81614520.53,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202311,IND,ARE,90411,Export,45709335.45,8321652.84,8321652.84,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.4928,-0.4399,0.0303,-0.4564,-0.4564,-0.3702,77929671.26,14232435.03,0.0004,-0.0003,0,45709335.45,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202312,IND,ARE,90411,Export,87070269.84,17097434.19,17097434.19,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.0926,0.9049,-0.0729,1.0546,1.0546,0.6889,63180346.85,17971959.83,0.0007,0.0003,0,87070269.84,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202401,IND,ARE,90411,Export,75663274.94,14575178.02,14575178.02,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.1912,-0.131,0.0194,-0.1475,-0.1475,-0.2405,71464708.61,22470997.64,0.0006,-0.0001,0,75663274.94,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202402,IND,ARE,90411,Export,78469478.86,15695390.68,15695390.68,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,4.9995,0.0371,-0.0369,0.0769,0.0769,-0.2603,69480960.08,21362291.22,0.0005,-0.0001,0,78469478.86,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202403,IND,ARE,90411,Export,75446021.41,14050532.49,14050532.49,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.3696,-0.0385,0.074,-0.1048,-0.1048,-0.2274,80401007.88,5943735.06,0.0006,0.0001,0,75446021.41,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202404,IND,ARE,90411,Export,68169985.11,12925222.07,12925222.07,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.2742,-0.0964,-0.0178,-0.0801,-0.0801,-0.0254,76526258.4,1686380.47,0.0006,0.0,0,68169985.11,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202405,IND,ARE,90411,Export,66817074.25,12466938.14,12466938.14,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.3595,-0.0198,0.0162,-0.0355,-0.0355,-0.2862,74028495.13,5294046.51,0.0006,0.0,0,66817074.25,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202406,IND,ARE,90411,Export,76930926.09,14366583.75,14366583.75,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.3549,0.1514,-0.0009,0.1524,0.1524,0.1269,70144360.26,4640937.43,0.0007,0.0001,0,76930926.09,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202407,IND,ARE,90411,Export,78312157.58,15398543.91,15398543.91,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.0857,0.018,-0.0503,0.0718,0.0718,0.5339,70639328.48,5490513.84,0.0006,-0.0001,0,78312157.58,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202408,IND,ARE,90411,Export,91384111.41,16798671.47,16798671.47,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.44,0.1669,0.0697,0.0909,0.0909,0.0159,74020052.64,6276075.48,0.0006,0.0,0,91384111.41,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202409,IND,ARE,90411,Export,84938051.7,15640424.33,15640424.33,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.4307,-0.0705,-0.0017,-0.0689,-0.0689,0.3652,82209065.03,7975779.41,0.0007,0.0001,0,84938051.7,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202410,IND,ARE,90411,Export,65160060.59,12332085.459999999,12332085.459999999,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.2838,-0.2329,-0.027,-0.2115,-0.2115,-0.2016,84878106.9,6536183.08,0.0006,-0.0001,0,65160060.59,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202411,IND,ARE,90411,Export,59647767.559999995,10817118.27,10817118.27,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.5142,-0.0846,0.0436,-0.1228,-0.1228,0.3049,80494074.57,13665171.42,0.0006,0.0,0,59647767.56,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202412,IND,ARE,90411,Export,67044094.99,12270841.33,12270841.33,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.4637,0.124,-0.0092,0.1344,0.1344,-0.23,69915293.28,13298826.88,0.0006,0.0,0,67044094.99,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202501,IND,ARE,90411,Export,90402806.75,18489272.29,18489272.29,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,4.8895,0.3484,-0.1051,0.5068,0.5068,0.1948,63950641.05,3843622.85,0.0006,0.0,0,90402806.75,1.0,0.0,0,VOLUME_SURGE,1,RULE_BASED_HEURISTIC
202502,IND,ARE,90411,Export,111338998.34,21025277.55,21025277.55,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.2955,0.2316,0.083,0.1372,0.1372,0.4189,72364889.77,16053076.08,0.0007,0.0001,0,111338998.34,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202503,IND,ARE,90411,Export,87754125.71,16571975.899999999,16571975.899999999,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.2953,-0.2118,-0.0,-0.2118,-0.2118,0.1631,89595300.03,22158489.71,0.0007,0.0,0,87754125.71,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202504,IND,ARE,90411,Export,82182368.51,15367417.459999999,15367417.459999999,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.3478,-0.0635,0.0099,-0.0727,-0.0727,0.2056,96498643.6,12920177.03,0.0008,0.0001,0,82182368.51,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202505,IND,ARE,90411,Export,64599453.76,12175757.89,12175757.89,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.3056,-0.2139,-0.0079,-0.2077,-0.2077,-0.0332,93758497.52,15477939.99,0.0006,-0.0002,0,64599453.76,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202506,IND,ARE,90411,Export,97046866.8,18329330.3,18329330.3,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.2946,0.5023,-0.0021,0.5054,0.5054,0.2615,78178649.33,12085405.82,0.0008,0.0002,0,97046866.8,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202507,IND,ARE,90411,Export,99492283.42999999,18913631.46,18913631.46,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.2603,0.0252,-0.0065,0.0319,0.0319,0.2705,81276229.69,16242674.32,0.0007,-0.0001,0,99492283.43,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202508,IND,ARE,90411,Export,100974549.27000001,18357370.72,18357370.72,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.5005,0.0149,0.0457,-0.0294,-0.0294,0.1049,87046201.33,19477868.8,0.0007,0.0,0,100974549.27,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202509,IND,ARE,90411,Export,66292107.25,12649262.63,12649262.63,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.2408,-0.3435,-0.0472,-0.3109,-0.3109,-0.2195,99171233.17,1983425.66,0.0005,-0.0002,0,66292107.25,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202510,IND,ARE,90411,Export,49510823.79,9442789.02,9442789.02,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.2432,-0.2531,0.0005,-0.2535,-0.2535,-0.2402,88919646.65,19610033.97,0.0004,-0.0001,0,49510823.79,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202511,IND,ARE,90411,Export,39042292.54,7837195.100000001,7837195.100000001,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,4.9817,-0.2114,-0.0499,-0.17,-0.17,-0.3455,72259160.1,26245629.16,0.0003,-0.0001,0,39042292.54,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202512,IND,ARE,90411,Export,71511064.35,12906275.35,12906275.35,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.5408,0.8316,0.1122,0.6468,0.6468,0.0666,51615074.53,13746235.99,0.0006,0.0003,0,71511064.35,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202201,IND,ARE,90411,Import,93865496.41,16766706.889999999,16766706.889999999,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.5983,,,,,,,,0.0007,,1,93865496.41,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202202,IND,ARE,90411,Import,65381693.87,11677169.16,11677169.16,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.5991,-0.3035,0.0001,-0.3036,-0.3036,,93865496.41,,0.0005,-0.0002,0,65381693.87,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202203,IND,ARE,90411,Import,83876815.6,15406469.790000001,15406469.790000001,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.4443,0.2829,-0.0276,0.3194,0.3194,,79623595.14,20141089.93,0.0007,0.0002,0,83876815.6,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202204,IND,ARE,90411,Import,58342321.22,11088005.76,11088005.76,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.2618,-0.3044,-0.0335,-0.2803,-0.2803,,81041335.29,14452048.75,0.0006,-0.0001,0,58342321.22,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202205,IND,ARE,90411,Import,55569444.75,10708080.17,10708080.17,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.1895,-0.0475,-0.0137,-0.0343,-0.0343,,69200276.9,13188585.33,0.0005,-0.0001,0,55569444.75,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202206,IND,ARE,90411,Import,53594222.16,10190946.34,10190946.34,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.259,-0.0355,0.0134,-0.0483,-0.0483,,65929527.19,15604521.2,0.0004,-0.0001,0,53594222.16,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202207,IND,ARE,90411,Import,103715597.89,18483517.82,18483517.82,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.6112,0.9352,0.067,0.8137,0.8137,,55835329.38,2385190.17,0.0009,0.0005,0,103715597.89,1.0,0.0,0,VOLUME_SURGE,1,RULE_BASED_HEURISTIC
202208,IND,ARE,90411,Import,57209803.08,11047413.79,11047413.79,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.1786,-0.4484,-0.0771,-0.4023,-0.4023,,70959754.93,28384578.77,0.0004,-0.0005,0,57209803.08,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202209,IND,ARE,90411,Import,66939312.53,12292493.96,12292493.96,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.4455,0.1701,0.0515,0.1127,0.1127,,71506541.04,27952381.18,0.0006,0.0002,0,66939312.53,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202210,IND,ARE,90411,Import,36088991.64,6507723.11,6507723.11,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.5456,-0.4609,0.0184,-0.4706,-0.4706,,75954904.5,24528716.06,0.0003,-0.0003,0,36088991.64,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202211,IND,ARE,90411,Import,59166977.97,10920606.120000001,10920606.120000001,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.4179,0.6395,-0.023,0.6781,0.6781,,53412702.42,15771780.33,0.0006,0.0003,0,59166977.97,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202212,IND,ARE,90411,Import,66043382.94,11702960.95,11702960.95,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.6433,0.1162,0.0416,0.0716,0.0716,,54065094.05,16045481.9,0.0006,0.0,0,66043382.94,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202301,IND,ARE,90411,Import,67022398.2,12180442.42,12180442.42,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.5025,0.0148,-0.0249,0.0408,0.0408,-0.286,53766450.85,15690463.96,0.0005,-0.0001,0,67022398.2,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202302,IND,ARE,90411,Import,78521773.95,14527743.41,14527743.41,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.405,0.1716,-0.0177,0.1927,0.1927,0.201,64077586.37,4280791.27,0.0006,0.0001,0,78521773.95,1.0,0.0,0,VOLUME_SURGE,1,RULE_BASED_HEURISTIC
202303,IND,ARE,90411,Import,93888006.76,16875505.52,16875505.52,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.5636,0.1957,0.0293,0.1616,0.1616,0.1194,70529185.03,6939072.41,0.0007,0.0001,0,93888006.76,1.0,0.0,0,VOLUME_SURGE,1,RULE_BASED_HEURISTIC
202304,IND,ARE,90411,Import,72132585.18,13335725.6,13335725.6,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.409,-0.2317,-0.0278,-0.2098,-0.2098,0.2364,79810726.3,13479105.29,0.0007,0.0,0,72132585.18,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202305,IND,ARE,90411,Import,42298046.33,7850541.82,7850541.82,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.3879,-0.4136,-0.0039,-0.4113,-0.4113,-0.2388,81514121.96,11182137.63,0.0004,-0.0003,0,42298046.33,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202306,IND,ARE,90411,Import,89988068.55,17424288.94,17424288.94,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.1645,1.1275,-0.0415,1.2195,1.2195,0.6791,69439546.09,25900199.79,0.0007,0.0003,0,89988068.55,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202307,IND,ARE,90411,Import,86584723.7,15278150.39,15278150.39,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.6672,-0.0378,0.0973,-0.1232,-0.1232,-0.1652,68139566.69,24094453.77,0.0006,-0.0001,0,86584723.7,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202308,IND,ARE,90411,Import,82664219.78999999,15904106.65,15904106.65,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.1977,-0.0453,-0.0828,0.041,0.041,0.4449,72956946.19,26605860.16,0.0006,0.0,0,82664219.79,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202309,IND,ARE,90411,Import,95574995.74,16433312.84,16433312.84,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.8159,0.1562,0.1189,0.0333,0.0333,0.4278,86412337.35,3664966.3,0.0008,0.0002,0,95574995.74,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202310,IND,ARE,90411,Import,58032624.2,10691189.67,10691189.67,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.4281,-0.3928,-0.0667,-0.3494,-0.3494,0.608,88274646.41,6619207.88,0.0005,-0.0003,0,58032624.2,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202311,IND,ARE,90411,Import,79294385.74000001,14057405.73,14057405.73,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.6408,0.3664,0.0392,0.3149,0.3149,0.3402,78757279.91,19073687.36,0.0007,0.0002,0,79294385.74,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202312,IND,ARE,90411,Import,70814634.95,13947828.52,13947828.52,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.0771,-0.1069,-0.0999,-0.0078,-0.0078,0.0722,77634001.89,18826180.47,0.0006,-0.0001,0,70814634.95,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202401,IND,ARE,90411,Import,97246107.12,18163837.66,18163837.66,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.3538,0.3732,0.0545,0.3023,0.3023,0.4509,69380548.3,10703180.8,0.0008,0.0002,0,97246107.12,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202402,IND,ARE,90411,Import,89944479.35,16369399.719999999,16369399.719999999,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.4947,-0.0751,0.0263,-0.0988,-0.0988,0.1455,82451709.27,13495636.3,0.0006,-0.0002,0,89944479.35,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202403,IND,ARE,90411,Import,90964620.92,17485993.49,17485993.49,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.2021,0.0113,-0.0533,0.0682,0.0682,-0.0311,86001740.47,13649709.62,0.0007,0.0001,0,90964620.92,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202404,IND,ARE,90411,Import,71480297.19,13713550.52,13713550.52,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.2124,-0.2142,0.002,-0.2157,-0.2157,-0.009,92718402.46,3954143.94,0.0007,0.0,0,71480297.19,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202405,IND,ARE,90411,Import,68211683.04,11714187.35,11714187.35,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.823,-0.0457,0.1171,-0.1458,-0.1458,0.6126,84129799.15,10966658.43,0.0007,0.0,0,68211683.04,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202406,IND,ARE,90411,Import,85608656.67,15670731.74,15670731.74,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.463,0.255,-0.0618,0.3378,0.3378,-0.0487,76885533.72,12301889.37,0.0007,0.0,0,85608656.67,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202407,IND,ARE,90411,Import,72123709.03,13105070.1,13105070.1,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.5035,-0.1575,0.0074,-0.1637,-0.1637,-0.167,75100212.3,9246162.01,0.0006,-0.0001,0,72123709.03,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202408,IND,ARE,90411,Import,108399049.22,19883889.490000002,19883889.490000002,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.4516,0.503,-0.0094,0.5173,0.5173,0.3113,75314682.91,9126905.75,0.0008,0.0002,0,108399049.22,1.0,0.0,0,VOLUME_SURGE,1,RULE_BASED_HEURISTIC
202409,IND,ARE,90411,Import,81398183.65,14835652.41,14835652.41,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.4867,-0.2491,0.0064,-0.2539,-0.2539,-0.1483,88710471.64,18335512.5,0.0007,-0.0001,0,81398183.65,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
202410,IND,ARE,90411,Import,72178390.64,14090940.89,14090940.89,kg,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),8,5.1223,-0.1133,-0.0664,-0.0502,-0.0502,0.2438,87306980.63,18845702.1,0.0006,-0.0001,0,72178390.64,1.0,0.0,0,NORMAL,0,RULE_BASED_HEURISTIC
