document_id,source_dataset,source_version,split,image_reference,language,document_type,token_index,token,x0,y0,x1,y1,entity_label,linked_token_ids,key,value
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,21,Jebel,215,230,260,250,ANSWER,[],,Jebel
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,22,Ali,265,230,295,250,ANSWER,[],,Ali
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,23,HS,50,270,75,290,QUESTION,[26],HS_CODE,
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,24,Code:,80,270,125,290,QUESTION,[26],HS_CODE,
DOC_FUNSD_TRAIN_001,FUNSD,v1.0,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,en,CERTIFICATE_OF_ORIGIN,25,100630,135,270,195,290,ANSWER,[],,100630
DOC_FUNSD_TEST_001,FUNSD,v1.0,test,data/raw/documents/funsd/images/test_DOC_FUNSD_TEST_001.png,en,BILL_OF_LADING,0,BILL,100,30,160,60,HEADER,[],TITLE,BILL
DOC_FUNSD_TEST_001,FUNSD,v1.0,test,data/raw/documents/funsd/images/test_DOC_FUNSD_TEST_001.png,en,BILL_OF_LADING,1,OF,165,30,200,60,HEADER,[],TITLE,OF
DOC_FUNSD_TEST_001,FUNSD,v1.0,test,data/raw/documents/funsd/images/test_DOC_FUNSD_TEST_001.png,en,BILL_OF_LADING,2,LADING,205,30,310,60,HEADER,[],TITLE,LADING
DOC_FUNSD_TEST_001,FUNSD,v1.0,test,data/raw/documents/funsd/images/test_DOC_FUNSD_TEST_001.png,en,BILL_OF_LADING,3,B/L,40,80,80,100,QUESTION,[5],BL_NUMBER,
DOC_FUNSD_TEST_001,FUNSD,v1.0,test,data/raw/documents/funsd/images/test_DOC_FUNSD_TEST_001.png,en,BILL_OF_LADING,4,Number:,85,80,150,100,QUESTION,[5],BL_NUMBER,
DOC_FUNSD_TEST_001,FUNSD,v1.0,test,data/raw/documents/funsd/images/test_DOC_FUNSD_TEST_001.png,en,BILL_OF_LADING,5,IND-DXB-99281,160,80,290,100,ANSWER,[],,IND-DXB-99281
DOC_FUNSD_TEST_001,FUNSD,v1.0,test,data/raw/documents/funsd/images/test_DOC_FUNSD_TEST_001.png,en,BILL_OF_LADING,6,Vessel:,40,120,100,140,QUESTION,"[7, 8, 9]",VESSEL,
DOC_FUNSD_TEST_001,FUNSD,v1.0,test,data/raw/documents/funsd/images/test_DOC_FUNSD_TEST_001.png,en,BILL_OF_LADING,7,OCEAN,110,120,175,140,ANSWER,[],,OCEAN
DOC_FUNSD_TEST_001,FUNSD,v1.0,test,data/raw/documents/funsd/images/test_DOC_FUNSD_TEST_001.png,en,BILL_OF_LADING,8,STAR,180,120,230,140,ANSWER,[],,STAR
DOC_FUNSD_TEST_001,FUNSD,v1.0,test,data/raw/documents/funsd/images/test_DOC_FUNSD_TEST_001.png,en,BILL_OF_LADING,9,TITAN,235,120,295,140,ANSWER,[],,TITAN
DOC_FUNSD_TEST_001,FUNSD,v1.0,test,data/raw/documents/funsd/images/test_DOC_FUNSD_TEST_001.png,en,BILL_OF_LADING,10,Gross,40,160,90,180,QUESTION,"[13, 14]",WEIGHT,
DOC_FUNSD_TEST_001,FUNSD,v1.0,test,data/raw/documents/funsd/images/test_DOC_FUNSD_TEST_001.png,en,BILL_OF_LADING,11,Weight:,95,160,155,180,QUESTION,"[13, 14]",WEIGHT,
DOC_FUNSD_TEST_001,FUNSD,v1.0,test,data/raw/documents/funsd/images/test_DOC_FUNSD_TEST_001.png,en,BILL_OF_LADING,12,"26,500.00",165,160,245,180,ANSWER,[],,26500.00
DOC_FUNSD_TEST_001,FUNSD,v1.0,test,data/raw/documents/funsd/images/test_DOC_FUNSD_TEST_001.png,en,BILL_OF_LADING,13,KG,250,160,275,180,ANSWER,[],,KG
DOC_SROIE_TRAIN_001,SROIE,ICDAR_2019,train,data/raw/documents/sroie/images/train_DOC_SROIE_TRAIN_001.jpg,en,COMMERCIAL_INVOICE,0,GULF,60,30,120,55,COMPANY,[],COMPANY,GULF
DOC_SROIE_TRAIN_001,SROIE,ICDAR_2019,train,data/raw/documents/sroie/images/train_DOC_SROIE_TRAIN_001.jpg,en,COMMERCIAL_INVOICE,1,LOGISTICS,125,30,235,55,COMPANY,[],COMPANY,LOGISTICS
DOC_SROIE_TRAIN_001,SROIE,ICDAR_2019,train,data/raw/documents/sroie/images/train_DOC_SROIE_TRAIN_001.jpg,en,COMMERCIAL_INVOICE,2,FREE,240,30,290,55,COMPANY,[],COMPANY,FREE
DOC_SROIE_TRAIN_001,SROIE,ICDAR_2019,train,data/raw/documents/sroie/images/train_DOC_SROIE_TRAIN_001.jpg,en,COMMERCIAL_INVOICE,3,ZONE,295,30,350,55,COMPANY,[],COMPANY,ZONE
DOC_SROIE_TRAIN_001,SROIE,ICDAR_2019,train,data/raw/documents/sroie/images/train_DOC_SROIE_TRAIN_001.jpg,en,COMMERCIAL_INVOICE,4,Invoice,50,100,120,120,QUESTION,[6],INVOICE_NUM,
DOC_SROIE_TRAIN_001,SROIE,ICDAR_2019,train,data/raw/documents/sroie/images/train_DOC_SROIE_TRAIN_001.jpg,en,COMMERCIAL_INVOICE,5,No:,125,100,155,120,QUESTION,[6],INVOICE_NUM,
DOC_SROIE_TRAIN_001,SROIE,ICDAR_2019,train,data/raw/documents/sroie/images/train_DOC_SROIE_TRAIN_001.jpg,en,COMMERCIAL_INVOICE,6,INV-2024-8891,165,100,290,120,ANSWER,[],,INV-2024-8891
DOC_SROIE_TRAIN_001,SROIE,ICDAR_2019,train,data/raw/documents/sroie/images/train_DOC_SROIE_TRAIN_001.jpg,en,COMMERCIAL_INVOICE,7,Invoice,50,130,115,150,QUESTION,[9],DATE,
DOC_SROIE_TRAIN_001,SROIE,ICDAR_2019,train,data/raw/documents/sroie/images/train_DOC_SROIE_TRAIN_001.jpg,en,COMMERCIAL_INVOICE,8,Date:,120,130,160,150,QUESTION,[9],DATE,
DOC_SROIE_TRAIN_001,SROIE,ICDAR_2019,train,data/raw/documents/sroie/images/train_DOC_SROIE_TRAIN_001.jpg,en,COMMERCIAL_INVOICE,9,15/10/2024,170,130,260,150,DATE,[],,15/10/2024
DOC_SROIE_TRAIN_001,SROIE,ICDAR_2019,train,data/raw/documents/sroie/images/train_DOC_SROIE_TRAIN_001.jpg,en,COMMERCIAL_INVOICE,10,Total,50,220,100,245,QUESTION,[12],TOTAL,
DOC_SROIE_TRAIN_001,SROIE,ICDAR_2019,train,data/raw/documents/sroie/images/train_DOC_SROIE_TRAIN_001.jpg,en,COMMERCIAL_INVOICE,11,Amount:,105,220,175,245,QUESTION,[12],TOTAL,
DOC_SROIE_TRAIN_001,SROIE,ICDAR_2019,train,data/raw/documents/sroie/images/train_DOC_SROIE_TRAIN_001.jpg,en,COMMERCIAL_INVOICE,12,"USD 482,000.00",185,220,320,245,TOTAL,[],,482000.00
DOC_SROIE_TEST_001,SROIE,ICDAR_2019,test,data/raw/documents/sroie/images/test_DOC_SROIE_TEST_001.jpg,en,SHIPPING_RECEIPT,0,PORT,50,25,110,50,COMPANY,[],COMPANY,PORT
DOC_SROIE_TEST_001,SROIE,ICDAR_2019,test,data/raw/documents/sroie/images/test_DOC_SROIE_TEST_001.jpg,en,SHIPPING_RECEIPT,1,AUTHORITY,115,25,240,50,COMPANY,[],COMPANY,AUTHORITY
DOC_SROIE_TEST_001,SROIE,ICDAR_2019,test,data/raw/documents/sroie/images/test_DOC_SROIE_TEST_001.jpg,en,SHIPPING_RECEIPT,2,Terminal,50,80,130,100,QUESTION,[5],TERMINAL_FEE,
DOC_SROIE_TEST_001,SROIE,ICDAR_2019,test,data/raw/documents/sroie/images/test_DOC_SROIE_TEST_001.jpg,en,SHIPPING_RECEIPT,3,Handling:,135,80,215,100,QUESTION,[5],TERMINAL_FEE,
DOC_SROIE_TEST_001,SROIE,ICDAR_2019,test,data/raw/documents/sroie/images/test_DOC_SROIE_TEST_001.jpg,en,SHIPPING_RECEIPT,4,Charges:,220,80,285,100,QUESTION,[5],TERMINAL_FEE,
DOC_SROIE_TEST_001,SROIE,ICDAR_2019,test,data/raw/documents/sroie/images/test_DOC_SROIE_TEST_001.jpg,en,SHIPPING_RECEIPT,5,"AED 12,450.00",295,80,410,100,TOTAL,[],,12450.00
DOC_SROIE_TEST_001,SROIE,ICDAR_2019,test,data/raw/documents/sroie/images/test_DOC_SROIE_TEST_001.jpg,en,SHIPPING_RECEIPT,6,Payment,50,120,125,140,QUESTION,[7],METHOD,
DOC_SROIE_TEST_001,SROIE,ICDAR_2019,test,data/raw/documents/sroie/images/test_DOC_SROIE_TEST_001.jpg,en,SHIPPING_RECEIPT,7,Status: PAID,130,120,240,140,ANSWER,[],,PAID
DOC_CORD_TRAIN_001,CORD,v2.0,train,data/raw/documents/cord/images/train_DOC_CORD_TRAIN_001.png,en,PORT_HANDLING_RECEIPT,0,CUSTOMS,50,20,150,45,HEADER,[],TITLE,CUSTOMS
DOC_CORD_TRAIN_001,CORD,v2.0,train,data/raw/documents/cord/images/train_DOC_CORD_TRAIN_001.png,en,PORT_HANDLING_RECEIPT,1,DUTY,155,20,215,45,HEADER,[],TITLE,DUTY
DOC_CORD_TRAIN_001,CORD,v2.0,train,data/raw/documents/cord/images/train_DOC_CORD_TRAIN_001.png,en,PORT_HANDLING_RECEIPT,2,PAYMENT,220,20,310,45,HEADER,[],TITLE,PAYMENT
DOC_CORD_TRAIN_001,CORD,v2.0,train,data/raw/documents/cord/images/train_DOC_CORD_TRAIN_001.png,en,PORT_HANDLING_RECEIPT,3,HS Code: 100630,50,70,190,90,QUESTION,[4],HS6,100630
DOC_CORD_TRAIN_001,CORD,v2.0,train,data/raw/documents/cord/images/train_DOC_CORD_TRAIN_001.png,en,PORT_HANDLING_RECEIPT,4,Applicable Tariff: 0.0%,50,100,240,120,ANSWER,[],TARIFF,0.0%
DOC_CORD_TRAIN_001,CORD,v2.0,train,data/raw/documents/cord/images/train_DOC_CORD_TRAIN_001.png,en,PORT_HANDLING_RECEIPT,5,CEPA Preferential Rate Applied,50,130,320,150,COMMENT,[],NOTE,CEPA Preferential Rate Applied
DOC_CORD_TRAIN_001,CORD,v2.0,train,data/raw/documents/cord/images/train_DOC_CORD_TRAIN_001.png,en,PORT_HANDLING_RECEIPT,6,Total Duty Payable: $0.00,50,170,280,195,TOTAL,[],TOTAL_DUTY,0.00
DOC_CORD_TEST_001,CORD,v2.0,test,data/raw/documents/cord/images/test_DOC_CORD_TEST_001.png,en,WAREHOUSE_RECEIPT,0,BONDED,60,25,145,50,HEADER,[],TITLE,BONDED
DOC_CORD_TEST_001,CORD,v2.0,test,data/raw/documents/cord/images/test_DOC_CORD_TEST_001.png,en,WAREHOUSE_RECEIPT,1,WAREHOUSE,150,25,275,50,HEADER,[],TITLE,WAREHOUSE
DOC_CORD_TEST_001,CORD,v2.0,test,data/raw/documents/cord/images/test_DOC_CORD_TEST_001.png,en,WAREHOUSE_RECEIPT,2,Storage Bay: A-14,50,80,200,100,ANSWER,[],LOCATION,A-14
DOC_CORD_TEST_001,CORD,v2.0,test,data/raw/documents/cord/images/test_DOC_CORD_TEST_001.png,en,WAREHOUSE_RECEIPT,3,Storage Duration: 30 Days,50,110,260,130,ANSWER,[],DURATION,30 Days
DOC_CORD_TEST_001,CORD,v2.0,test,data/raw/documents/cord/images/test_DOC_CORD_TEST_001.png,en,WAREHOUSE_RECEIPT,4,Inspection Status: CLEARED,50,145,280,165,ANSWER,[],INSPECTION,CLEARED
DOC_XFUND_TRAIN_ZH_001,XFUND,v1.0,train,data/raw/documents/xfund/images/train_DOC_XFUND_TRAIN_ZH_001.png,zh,CUSTOMS_DECLARATION,0,海关报关单,80,20,240,50,HEADER,[],TITLE,海关报关单
DOC_XFUND_TRAIN_ZH_001,XFUND,v1.0,train,data/raw/documents/xfund/images/train_DOC_XFUND_TRAIN_ZH_001.png,zh,CUSTOMS_DECLARATION,1,出口商:,50,80,130,105,QUESTION,[2],EXPORTER,
DOC_XFUND_TRAIN_ZH_001,XFUND,v1.0,train,data/raw/documents/xfund/images/train_DOC_XFUND_TRAIN_ZH_001.png,zh,CUSTOMS_DECLARATION,2,上海精密机械工业公司,140,80,380,105,ANSWER,[],,上海精密机械工业公司
DOC_XFUND_TRAIN_ZH_001,XFUND,v1.0,train,data/raw/documents/xfund/images/train_DOC_XFUND_TRAIN_ZH_001.png,zh,CUSTOMS_DECLARATION,3,目的国:,50,120,130,145,QUESTION,[4],DEST_COUNTRY,
DOC_XFUND_TRAIN_ZH_001,XFUND,v1.0,train,data/raw/documents/xfund/images/train_DOC_XFUND_TRAIN_ZH_001.png,zh,CUSTOMS_DECLARATION,4,印度 (IND),140,120,250,145,ANSWER,[],,印度 (IND)
DOC_XFUND_TRAIN_ZH_001,XFUND,v1.0,train,data/raw/documents/xfund/images/train_DOC_XFUND_TRAIN_ZH_001.png,zh,CUSTOMS_DECLARATION,5,商品编码:,50,160,150,185,QUESTION,[6],HS_CODE,
DOC_XFUND_TRAIN_ZH_001,XFUND,v1.0,train,data/raw/documents/xfund/images/train_DOC_XFUND_TRAIN_ZH_001.png,zh,CUSTOMS_DECLARATION,6,84713000,160,160,260,185,ANSWER,[],,84713000
DOC_XFUND_TRAIN_ZH_001,XFUND,v1.0,train,data/raw/documents/xfund/images/train_DOC_XFUND_TRAIN_ZH_001.png,zh,CUSTOMS_DECLARATION,7,申报价值 (USD):,50,200,200,225,QUESTION,[8],VALUE_USD,
DOC_XFUND_TRAIN_ZH_001,XFUND,v1.0,train,data/raw/documents/xfund/images/train_DOC_XFUND_TRAIN_ZH_001.png,zh,CUSTOMS_DECLARATION,8,"1,250,000.00",210,200,350,225,TOTAL,[],,1250000.00
DOC_XFUND_TEST_DE_001,XFUND,v1.0,test,data/raw/documents/xfund/images/test_DOC_XFUND_TEST_DE_001.png,de,EXPORT_DECLARATION,0,ZOLLANMELDUNG,70,25,270,50,HEADER,[],TITLE,ZOLLANMELDUNG
DOC_XFUND_TEST_DE_001,XFUND,v1.0,test,data/raw/documents/xfund/images/test_DOC_XFUND_TEST_DE_001.png,de,EXPORT_DECLARATION,1,Ausführer:,50,80,150,105,QUESTION,[2],EXPORTER,
DOC_XFUND_TEST_DE_001,XFUND,v1.0,test,data/raw/documents/xfund/images/test_DOC_XFUND_TEST_DE_001.png,de,EXPORT_DECLARATION,2,Deutsche Specialty Chemicals GmbH,160,80,480,105,ANSWER,[],,Deutsche Specialty Chemicals GmbH
DOC_XFUND_TEST_DE_001,XFUND,v1.0,test,data/raw/documents/xfund/images/test_DOC_XFUND_TEST_DE_001.png,de,EXPORT_DECLARATION,3,Bestimmungsland:,50,120,220,145,QUESTION,[4],DEST_COUNTRY,
DOC_XFUND_TEST_DE_001,XFUND,v1.0,test,data/raw/documents/xfund/images/test_DOC_XFUND_TEST_DE_001.png,de,EXPORT_DECLARATION,4,Indien (IND),230,120,350,145,ANSWER,[],,Indien (IND)
DOC_XFUND_TEST_DE_001,XFUND,v1.0,test,data/raw/documents/xfund/images/test_DOC_XFUND_TEST_DE_001.png,de,EXPORT_DECLARATION,5,Warennummer:,50,160,185,185,QUESTION,[6],HS_CODE,
DOC_XFUND_TEST_DE_001,XFUND,v1.0,test,data/raw/documents/xfund/images/test_DOC_XFUND_TEST_DE_001.png,de,EXPORT_DECLARATION,6,30049000,195,160,290,185,ANSWER,[],,30049000
DOC_XFUND_TEST_DE_001,XFUND,v1.0,test,data/raw/documents/xfund/images/test_DOC_XFUND_TEST_DE_001.png,de,EXPORT_DECLARATION,7,Rechnungsbetrag EUR:,50,200,240,225,QUESTION,[8],TOTAL,
DOC_XFUND_TEST_DE_001,XFUND,v1.0,test,data/raw/documents/xfund/images/test_DOC_XFUND_TEST_DE_001.png,de,EXPORT_DECLARATION,8,"890.000,00",250,200,360,225,TOTAL,[],,890000.00
